종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2019-05-26 1:16,부산광역시 중구 영주동,중부소방서/중앙119안전센터
구조,1차출동,2019-05-26 1:09,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2019-05-26 1:05,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2019-05-26 0:55,부산광역시 기장군 정관읍 매학리,기장소방서/정관119안전센터
구급,1차출동,2019-05-26 0:54,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구급,1차출동,2019-05-26 0:52,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2019-05-26 0:52,부산광역시 기장군 정관읍 용수리,기장소방서/정관119안전센터
구급,1차출동,2019-05-26 0:48,부산광역시 동구 초량동,중부소방서/초량119안전센터
화재,1차출동,2019-05-26 0:48,부산광역시 동래구 명장동,금정소방서/서동119안전센터
구급,1차출동,2019-05-26 0:47,부산광역시 사상구 감전동,북부소방서/감전119안전센터
구조,1차출동,2019-05-26 0:46,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2019-05-26 0:43,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구급,1차출동,2019-05-26 0:36,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2019-05-26 0:32,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2019-05-26 0:30,부산광역시 부산진구 당감동,부산진소방서/가야119안전센터
구급,1차출동,2019-05-26 0:25,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
기타,1차출동,2019-05-26 0:19,부산광역시 강서구 대저2동,강서소방서/대저119안전센터
구급,1차출동,2019-05-26 0:17,부산광역시 기장군 기장읍 동부리,기장소방서/기장119안전센터
구급,1차출동,2019-05-26 0:12,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2019-05-26 0:12,부산광역시 기장군 정관읍 달산리,기장소방서/정관119안전센터
구급,1차출동,2019-05-26 0:09,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2019-05-26 0:06,부산광역시 영도구 청학동,항만소방서/청학119안전센터
기타,1차출동,2019-05-25 23:54,부산광역시 부산진구 연지동,부산진소방서/부암119안전센터
구급,1차출동,2019-05-25 23:54,부산광역시 동래구 온천동,동래소방서/온천119안전센터
구급,1차출동,2019-05-25 23:52,부산광역시 강서구 명지동,강서소방서/신호119안전센터
구조,1차출동,2019-05-25 23:51,부산광역시 기장군 철마면 연구리,기장소방서/기장119안전센터
구급,1차출동,2019-05-25 23:49,부산광역시 부산진구 연지동,부산진소방서/부암119안전센터
구급,1차출동,2019-05-25 23:48,부산광역시 사하구 하단동,사하소방서/하단119안전센터
기타,1차출동,2019-05-25 23:48,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구조,1차출동,2019-05-25 23:46,부산광역시 기장군 정관읍 모전리,기장소방서/정관119안전센터
구급,1차출동,2019-05-25 23:44,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 23:44,부산광역시 서구 초장동,중부소방서/충무119안전센터
구조,1차출동,2019-05-25 23:41,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 23:33,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2019-05-25 23:30,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-05-25 23:30,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2019-05-25 23:22,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 23:20,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구급,1차출동,2019-05-25 23:20,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2019-05-25 23:18,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 23:15,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2019-05-25 23:14,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2019-05-25 23:14,부산광역시 남구 대연동,남부소방서/대연119안전센터
화재,1차출동,2019-05-25 23:08,부산광역시 북구 덕천동,북부소방서/구포119안전센터
기타,1차출동,2019-05-25 23:06,부산광역시 금정구 구서동,금정소방서/남산119안전센터
구급,1차출동,2019-05-25 23:05,부산광역시 북구 금곡동,북부소방서/금곡119안전센터
구급,1차출동,2019-05-25 23:04,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2019-05-25 23:03,부산광역시 부산진구 연지동,부산진소방서/부암119안전센터
구급,1차출동,2019-05-25 23:01,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구급,1차출동,2019-05-25 22:56,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구조,1차출동,2019-05-25 22:55,부산광역시 동래구 명장동,금정소방서/서동119안전센터
구급,1차출동,2019-05-25 22:55,부산광역시 영도구 봉래동3가,항만소방서/영선119안전센터
구급,1차출동,2019-05-25 22:55,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구급,1차출동,2019-05-25 22:55,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2019-05-25 22:51,부산광역시 북구 금곡동,북부소방서/금곡119안전센터
구급,1차출동,2019-05-25 22:51,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2019-05-25 22:50,부산광역시 남구 용당동,남부소방서/용당119안전센터
구급,1차출동,2019-05-25 22:49,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2019-05-25 22:48,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2019-05-25 22:45,부산광역시 서구 남부민동,중부소방서/충무119안전센터
구조,1차출동,2019-05-25 22:45,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2019-05-25 22:44,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구조,1차출동,2019-05-25 22:38,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구급,1차출동,2019-05-25 22:36,부산광역시 기장군 일광면 이천리,기장소방서/장안119안전센터
구조,1차출동,2019-05-25 22:33,부산광역시 사하구 감천동,사하소방서/감천119안전센터
구급,1차출동,2019-05-25 22:33,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2019-05-25 22:31,부산광역시 동구 좌천동,부산진소방서/수정119안전센터
기타,1차출동,2019-05-25 22:28,부산광역시 사하구 장림동,사하소방서/신평119안전센터
기타,1차출동,2019-05-25 22:26,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구급,1차출동,2019-05-25 22:26,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2019-05-25 22:25,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2019-05-25 22:23,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구조,1차출동,2019-05-25 22:20,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 22:19,부산광역시 사상구 학장동,북부소방서/학장119안전센터
구급,1차출동,2019-05-25 22:17,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2019-05-25 22:16,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구급,1차출동,2019-05-25 22:09,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2019-05-25 22:09,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2019-05-25 22:08,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구조,1차출동,2019-05-25 22:08,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2019-05-25 22:08,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구급,1차출동,2019-05-25 22:05,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2019-05-25 22:05,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구조,1차출동,2019-05-25 22:03,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2019-05-25 22:01,부산광역시 동래구 명장동,동래소방서/수안119안전센터
구조,1차출동,2019-05-25 22:00,부산광역시 기장군 기장읍 시랑리,기장소방서/송정119안전센터
구조,1차출동,2019-05-25 21:56,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구급,1차출동,2019-05-25 21:54,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2019-05-25 21:51,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2019-05-25 21:51,부산광역시 사하구 감천동,사하소방서/감천119안전센터
구급,1차출동,2019-05-25 21:50,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2019-05-25 21:50,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2019-05-25 21:48,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2019-05-25 21:45,부산광역시 사하구 감천동,사하소방서/감천119안전센터
구급,1차출동,2019-05-25 21:37,부산광역시 수영구 민락동,남부소방서/광안119안전센터
기타,1차출동,2019-05-25 21:36,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 21:36,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구급,1차출동,2019-05-25 21:34,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 21:34,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 21:34,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구급,1차출동,2019-05-25 21:25,부산광역시 부산진구 부암동,부산진소방서/당감119안전센터
구급,1차출동,2019-05-25 21:23,부산광역시 금정구 남산동,금정소방서/남산119안전센터
구급,1차출동,2019-05-25 21:23,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-05-25 21:22,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2019-05-25 21:22,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구조,1차출동,2019-05-25 21:20,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2019-05-25 21:19,부산광역시 강서구 녹산동,강서소방서/녹산119안전센터
구급,1차출동,2019-05-25 21:18,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구조,1차출동,2019-05-25 21:18,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구조,1차출동,2019-05-25 21:18,부산광역시 강서구 녹산동,강서소방서/녹산119안전센터
구급,1차출동,2019-05-25 21:17,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2019-05-25 21:16,부산광역시 사상구 학장동,북부소방서/학장119안전센터
구조,1차출동,2019-05-25 21:16,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구급,1차출동,2019-05-25 21:12,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2019-05-25 21:10,부산광역시 남구 용호동,남부소방서/용당119안전센터
기타,1차출동,2019-05-25 21:07,부산광역시 부산진구 부암동,부산진소방서/부암119안전센터
구급,1차출동,2019-05-25 21:06,부산광역시 사하구 감천동,사하소방서/감천119안전센터
구급,1차출동,2019-05-25 21:05,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2019-05-25 21:02,부산광역시 금정구 구서동,금정소방서/부곡119안전센터
구급,1차출동,2019-05-25 21:02,부산광역시 서구 충무동2가,중부소방서/충무119안전센터
구급,1차출동,2019-05-25 21:00,부산광역시 동래구 수안동,동래소방서/수안119안전센터
구급,1차출동,2019-05-25 20:56,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
기타,1차출동,2019-05-25 20:55,부산광역시 연제구 연산동,동래소방서/양정119안전센터
화재,1차출동,2019-05-25 20:49,부산광역시 서구 서대신동2가,중부소방서/부민119안전센터
구조,1차출동,2019-05-25 20:44,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구조,1차출동,2019-05-25 20:43,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 20:42,부산광역시 사하구 다대동,사하소방서/다대119안전센터
구조,1차출동,2019-05-25 20:42,부산광역시 금정구 남산동,금정소방서/남산119안전센터
구급,1차출동,2019-05-25 20:39,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2019-05-25 20:36,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-05-25 20:35,부산광역시 동래구 칠산동,동래소방서/수안119안전센터
구조,1차출동,2019-05-25 20:35,부산광역시 기장군 기장읍 교리,기장소방서/기장119안전센터
구급,1차출동,2019-05-25 20:29,부산광역시 연제구 거제동,동래소방서/수안119안전센터
구급,1차출동,2019-05-25 20:29,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구조,1차출동,2019-05-25 20:26,부산광역시 기장군 기장읍 대변리,기장소방서/기장119안전센터
구급,1차출동,2019-05-25 20:25,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구급,1차출동,2019-05-25 20:23,부산광역시 해운대구 송정동,기장소방서/송정119안전센터
구급,1차출동,2019-05-25 20:20,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2019-05-25 20:19,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-05-25 20:18,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2019-05-25 20:18,부산광역시 사하구 감천동,사하소방서/감천119안전센터
기타,1차출동,2019-05-25 20:13,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2019-05-25 20:11,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
구조,1차출동,2019-05-25 20:07,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2019-05-25 20:01,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구조,1차출동,2019-05-25 19:52,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구조,1차출동,2019-05-25 19:52,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2019-05-25 19:49,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2019-05-25 19:44,부산광역시 사상구 감전동,북부소방서/감전119안전센터
구급,1차출동,2019-05-25 19:44,부산광역시 해운대구 재송동,해운대소방서/우동119안전센터
구급,1차출동,2019-05-25 19:41,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
화재,1차출동,2019-05-25 19:41,부산광역시 강서구 대저2동,강서소방서/신호119안전센터
구급,1차출동,2019-05-25 19:41,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
구급,1차출동,2019-05-25 19:38,부산광역시 동구 수정동,부산진소방서/수정119안전센터
구조,1차출동,2019-05-25 19:38,부산광역시 영도구 청학동,항만소방서/청학119안전센터
구급,1차출동,2019-05-25 19:38,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2019-05-25 19:37,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구조,1차출동,2019-05-25 19:34,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2019-05-25 19:32,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2019-05-25 19:31,부산광역시 서구 동대신동3가,중부소방서/부민119안전센터
구급,1차출동,2019-05-25 19:31,부산광역시 사하구 감천동,사하소방서/감천119안전센터
화재,1차출동,2019-05-25 19:30,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2019-05-25 19:26,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2019-05-25 19:25,부산광역시 강서구 대저2동,강서소방서/대저119안전센터
구급,1차출동,2019-05-25 19:16,부산광역시 동래구 온천동,동래소방서/온천119안전센터
화재,1차출동,2019-05-25 19:16,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2019-05-25 19:11,부산광역시 수영구 수영동,남부소방서/망미119안전센터
구조,1차출동,2019-05-25 19:11,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 19:10,부산광역시 사상구 덕포동,북부소방서/삼락119안전센터
구급,1차출동,2019-05-25 19:05,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2019-05-25 19:04,부산광역시 북구 구포동,북부소방서/구포119안전센터
기타,1차출동,2019-05-25 19:02,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 19:01,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2019-05-25 18:57,부산광역시 기장군 정관읍 매학리,기장소방서/정관119안전센터
기타,1차출동,2019-05-25 18:54,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구조,1차출동,2019-05-25 18:53,부산광역시 사상구 삼락동,북부소방서/삼락119안전센터
구급,1차출동,2019-05-25 18:53,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2019-05-25 18:53,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2019-05-25 18:53,부산광역시 기장군 일광면 이천리,기장소방서/장안119안전센터
기타,1차출동,2019-05-25 18:53,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
기타,1차출동,2019-05-25 18:50,부산광역시 남구 감만동,남부소방서/감만119안전센터
구급,1차출동,2019-05-25 18:46,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2019-05-25 18:45,부산광역시 부산진구 당감동,부산진소방서/당감119안전센터
구급,1차출동,2019-05-25 18:44,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2019-05-25 18:41,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2019-05-25 18:40,부산광역시 기장군 정관읍 방곡리,기장소방서/정관119안전센터
구급,1차출동,2019-05-25 18:39,부산광역시 부산진구 가야동,부산진소방서/가야119안전센터
구급,1차출동,2019-05-25 18:32,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2019-05-25 18:31,부산광역시 서구 암남동,중부소방서/충무119안전센터
구조,1차출동,2019-05-25 18:30,부산광역시 사하구 장림동,사하소방서/신평119안전센터
구급,1차출동,2019-05-25 18:29,부산광역시 북구 화명동,북부소방서/화명119안전센터
기타,1차출동,2019-05-25 18:28,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2019-05-25 18:27,부산광역시 서구 암남동,중부소방서/충무119안전센터
기타,1차출동,2019-05-25 18:26,부산광역시 동구 초량동,항만소방서/부두119안전센터
구급,1차출동,2019-05-25 18:25,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
기타,1차출동,2019-05-25 18:24,부산광역시 해운대구 재송동,해운대소방서/반여119안전센터
구급,1차출동,2019-05-25 18:22,부산광역시 남구 감만동,남부소방서/감만119안전센터
구조,1차출동,2019-05-25 18:21,부산광역시 사상구 덕포동,북부소방서/삼락119안전센터
구급,1차출동,2019-05-25 18:21,부산광역시 서구 서대신동3가,중부소방서/부민119안전센터
구급,1차출동,2019-05-25 18:21,부산광역시 해운대구 재송동,해운대소방서/우동119안전센터
구조,1차출동,2019-05-25 18:14,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구조,1차출동,2019-05-25 18:09,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2019-05-25 18:08,부산광역시 북구 금곡동,북부소방서/화명119안전센터
구급,1차출동,2019-05-25 18:06,부산광역시 동구 범일동,부산진소방서/범일119안전센터
기타,1차출동,2019-05-25 17:58,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구급,1차출동,2019-05-25 17:53,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 17:51,부산광역시 동구 수정동,부산진소방서/수정119안전센터
구급,1차출동,2019-05-25 17:50,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2019-05-25 17:50,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2019-05-25 17:46,부산광역시 금정구 남산동,금정소방서/남산119안전센터
구급,1차출동,2019-05-25 17:46,부산광역시 수영구 광안동,남부소방서/광안119안전센터
기타,1차출동,2019-05-25 17:44,부산광역시 서구 서대신동3가,중부소방서/부민119안전센터
구급,1차출동,2019-05-25 17:39,부산광역시 영도구 청학동,항만소방서/청학119안전센터
구급,1차출동,2019-05-25 17:38,부산광역시 사상구 감전동,북부소방서/감전119안전센터
구조,1차출동,2019-05-25 17:38,부산광역시 동구 초량동,항만소방서/부두119안전센터
구급,1차출동,2019-05-25 17:38,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2019-05-25 17:35,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 17:34,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구조,1차출동,2019-05-25 17:32,부산광역시 기장군 정관읍 용수리,기장소방서/정관119안전센터
구급,1차출동,2019-05-25 17:30,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
구조,1차출동,2019-05-25 17:28,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 17:26,부산광역시 기장군 일광면 이천리,기장소방서/장안119안전센터
구급,1차출동,2019-05-25 17:25,부산광역시 기장군 기장읍 교리,기장소방서/기장119안전센터
화재,1차출동,2019-05-25 17:24,부산광역시 동구 초량동,중부소방서/초량119안전센터
화재,1차출동,2019-05-25 17:24,부산광역시 동구 초량동,중부소방서/초량119안전센터
구급,1차출동,2019-05-25 17:23,부산광역시 북구 구포동,북부소방서/구포119안전센터
구급,1차출동,2019-05-25 17:23,부산광역시 부산진구 범천동,부산진소방서/가야119안전센터
기타,1차출동,2019-05-25 17:22,부산광역시 수영구 광안동,남부소방서/광안119안전센터
구조,1차출동,2019-05-25 17:21,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 17:19,부산광역시 기장군 정관읍 용수리,기장소방서/정관119안전센터
구급,1차출동,2019-05-25 17:19,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2019-05-25 17:14,부산광역시 기장군 기장읍 청강리,기장소방서/기장119안전센터
구급,1차출동,2019-05-25 17:13,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구조,1차출동,2019-05-25 17:10,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-05-25 17:09,부산광역시 남구 감만동,남부소방서/감만119안전센터
구급,1차출동,2019-05-25 17:08,부산광역시 사상구 감전동,북부소방서/감전119안전센터
구급,1차출동,2019-05-25 17:07,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-05-25 17:07,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구조,1차출동,2019-05-25 17:07,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-05-25 16:59,부산광역시 사하구 감천동,사하소방서/감천119안전센터
구급,1차출동,2019-05-25 16:57,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 16:56,부산광역시 서구 서대신동3가,중부소방서/부민119안전센터
구조,1차출동,2019-05-25 16:52,부산광역시 수영구 망미동,남부소방서/망미119안전센터
기타,1차출동,2019-05-25 16:52,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
구급,1차출동,2019-05-25 16:49,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 16:44,부산광역시 수영구 민락동,남부소방서/광안119안전센터
구급,1차출동,2019-05-25 16:44,부산광역시 사상구 덕포동,북부소방서/삼락119안전센터
구급,1차출동,2019-05-25 16:41,부산광역시 사상구 엄궁동,북부소방서/학장119안전센터
구급,1차출동,2019-05-25 16:41,부산광역시 사상구 덕포동,북부소방서/삼락119안전센터
구급,1차출동,2019-05-25 16:37,부산광역시 강서구 대저1동,강서소방서/대저119안전센터
구조,1차출동,2019-05-25 16:36,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 16:28,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2019-05-25 16:27,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2019-05-25 16:27,부산광역시 금정구 구서동,금정소방서/남산119안전센터
구급,1차출동,2019-05-25 16:26,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구조,1차출동,2019-05-25 16:26,부산광역시 연제구 거제동,동래소방서/사직119안전센터
화재,1차출동,2019-05-25 16:24,부산광역시 동래구 명륜동,동래소방서/수안119안전센터
구급,1차출동,2019-05-25 16:22,부산광역시 금정구 장전동,금정소방서/부곡119안전센터
구급,1차출동,2019-05-25 16:20,부산광역시 해운대구 반여동,해운대소방서/반여119안전센터
구급,1차출동,2019-05-25 16:17,부산광역시 해운대구 좌동,해운대소방서/좌동119안전센터
화재,1차출동,2019-05-25 16:16,부산광역시 부산진구 범천동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 16:14,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2019-05-25 16:08,부산광역시 사상구 학장동,북부소방서/학장119안전센터
구급,1차출동,2019-05-25 16:08,부산광역시 동구 초량동,중부소방서/초량119안전센터
구조,1차출동,2019-05-25 16:07,부산광역시 중구 중앙동4가,항만소방서/부두119안전센터
화재,1차출동,2019-05-25 16:05,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구조,1차출동,2019-05-25 15:56,부산광역시 수영구 남천동,남부소방서/대연119안전센터
구급,1차출동,2019-05-25 15:55,부산광역시 기장군 정관읍 모전리,기장소방서/정관119안전센터
구급,1차출동,2019-05-25 15:52,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
기타,1차출동,2019-05-25 15:51,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
구조,1차출동,2019-05-25 15:49,부산광역시 기장군 일광면 용천리,기장소방서/장안119안전센터
구조,1차출동,2019-05-25 15:49,부산광역시 기장군 정관읍 용수리,기장소방서/정관119안전센터
구급,1차출동,2019-05-25 15:48,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2019-05-25 15:45,부산광역시 기장군 기장읍 대라리,기장소방서/기장119안전센터
구급,1차출동,2019-05-25 15:45,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구급,1차출동,2019-05-25 15:40,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구조,1차출동,2019-05-25 15:40,부산광역시 영도구 동삼동,항만소방서/동삼119안전센터
구조,1차출동,2019-05-25 15:36,부산광역시 연제구 거제동,동래소방서/수안119안전센터
구급,1차출동,2019-05-25 15:36,부산광역시 금정구 서동,금정소방서/서동119안전센터
구급,1차출동,2019-05-25 15:34,부산광역시 수영구 망미동,남부소방서/망미119안전센터
구급,1차출동,2019-05-25 15:31,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2019-05-25 15:30,부산광역시 서구 암남동,중부소방서/충무119안전센터
구급,1차출동,2019-05-25 15:29,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2019-05-25 15:26,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 15:26,부산광역시 사상구 괘법동,북부소방서/삼락119안전센터
화재,1차출동,2019-05-25 15:25,부산광역시 동구 범일동,부산진소방서/범일119안전센터
구급,1차출동,2019-05-25 15:23,부산광역시 동래구 사직동,동래소방서/사직119안전센터
구급,1차출동,2019-05-25 15:23,부산광역시 영도구 청학동,항만소방서/청학119안전센터
구급,1차출동,2019-05-25 15:21,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2019-05-25 15:19,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구조,1차출동,2019-05-25 15:19,부산광역시 영도구 남항동1가,항만소방서/영선119안전센터
